domain,company,tier,tier_confidence,score_75,score_ceiling,unretrieved_signals,evidence_tier,est_mark,est_retrieval,est_window,est_sentence,est_pain_postings_12m,est_pain_postings_alltime,postings_searched,requisitions_searched,hir_mark,hir_retrieval,hir_window,mdb_mark,mdb_retrieval,mrg_mark,mrg_retrieval,ver_gate,age_gate,scl_gate,acc_gate,cohort,founded_year,employees,ownership_type,latest_round,total_funding,hq,industry,source_islands,notes
capitalontap.com,Capital on Tap,3,CANNOT REACH TIER 1 - ceiling 55,30.0,55.0,MRG,"B - estate measured, no qualifying sentence",EST○,w1 correction 2026-09-04 - 0926-origami-job-postings.csv Pull=P9 cost-test,2026-09-02,,,,,,HIR●,w1 correction 2026-09-04 - 0926-origami-job-postings.csv Pull=P9 cost-test,2026-09-02,MDB●,MongoDB enrichment: product stack,MRG?,NOT RETRIEVED,VER?,AGE?,SCL?,ACC?,,2012,1122,private,,$611.1M debt_financing,UK,,cost-test-9;w1-corrections,Full posting text committed (4911 chars). Zero of the 9 pinned terms. Posting dated 2026-09-02. MDB● already on file. CAPITAL-PATH: DEBT.
carta.com,Carta,2,FIRM - all four signals retrieved,50.0,75.0,,"B - estate measured, no qualifying sentence",EST○,"job-postings pull, 44 domains, 12-month window",no qualifying posting; 49 postings / 34 requisitions searched,"[reliability/toil] ""n principles. - AI Fluency: You use AI tools in your own day-to-day work in addition to enabling others. You're comfortable building agents to reduce toil and expect this to be a normal part of how you operate. - Experience operating CI/CD and its associated best practices is also appreciated though not"" || [reliability/toil] ""n principles. - AI Fluency: You use AI tools in your own day-to-day work in addition to enabling others. You're comfortable building agents to reduce toil and expect this to be a normal part of how you operate. - Experience operating CI/CD and its associated best practices is also appreciated though not""",0,0,49,34,HIR●,"job-postings pull, 44 domains, recency-windowed",no qualifying posting; 49 postings / 34 requisitions searched,MDB●,MongoDB enrichment: product stack,MRG●,"funding stage only (SERIES_G) - capital gate passed by construction, not a margin event",VER●,AGE●,SCL●,ACC●,E — efficiency reset,2012,2046,,SERIES_G,1157600000,"San Francisco, California",,roster-31,"margin/sponsor trigger confirmed; MongoDB confirmed — **direction unverified, no requisition on file** · **re-measured by the 04-09 pull**"
chrono24.com,Chrono24,3,CANNOT REACH TIER 1 - ceiling 55,15.0,55.0,MRG,"B - estate measured, no qualifying sentence",EST○,w1 correction 2026-09-04 - 0926-origami-job-postings.csv Pull=P9 cost-test,2026-09-01,,,,,,HIR●,w1 correction 2026-09-04 - 0926-origami-job-postings.csv Pull=P9 cost-test,2026-09-01,MDB○,MongoDB enrichment: no evidence string,MRG?,NOT RETRIEVED,VER?,AGE?,SCL?,ACC?,,2003,400,VC/private,,$187.1M (stage undisclosed),Germany,,cost-test-9;w1-corrections,Full posting text committed (3838 chars). Zero of the 9 pinned terms. Posting dated 2026-09-01.
civitatis.com,Civitatis,3,FIRM - all four signals retrieved,35.0,75.0,,"B - estate measured, no qualifying sentence",EST○,"job-postings pull, 44 domains, 12-month window",no qualifying posting; 1 postings / 1 requisitions searched,,0,0,1,1,HIR●,"job-postings pull, 44 domains, recency-windowed",no qualifying posting; 1 postings / 1 requisitions searched,MDB○,MongoDB enrichment: no evidence string,MRG●,Origami firmographics: PRIVATE_EQUITY_ROUND,VER●,AGE?,SCL●,ACC●,B — sponsor mandate,,455,,PRIVATE_EQUITY_ROUND,158937785,,,roster-31,margin/sponsor trigger confirmed; `AGE?` Founded Year blank · **re-measured by the 04-09 pull**
close.com,Close,1,FIRM - all four signals retrieved,65.0,75.0,,"B - estate measured, no qualifying sentence",EST●,"roster hand-read, pre-pull",2026-09-01..2026-09-01 (n=1 postings in repo),,,,,,HIR●,"roster hand-read, pre-pull",2026-09-01..2026-09-01 (n=1 postings in repo),MDB●,MongoDB enrichment: product stack,MRG◐,"funding stage only (seed) - capital gate passed by construction, not a margin event",VER◐,AGE?,SCL○,ACC●,A — hiring trigger,,214,,seed,250000,,,roster-31,"**MongoDB present**; named estate pain in an open req; live infra hiring; MongoDB confirmed — direction checked, neutral; `AGE?` Founded Year blank"
cmtelematics.com,Cambridge Mobile Telematics,1,FIRM - all four signals retrieved,60.0,75.0,,"A - named pain, sentence on file",EST●,"job-postings pull, 44 domains, 12-month window","qualifying posting 2026-03-29; 3 pain postings in 12m of 3 all-time, across 15 requisitions","nt: Proactively identify and mitigate technical risks, including security vulnerabilities, scalability constraints, and technical debt to ensure long-term platform stability. **Qualifications:** - Bachelor's or Master's degree in Computer Science, Elec",3,3,25,15,HIR●,"job-postings pull, 44 domains, recency-windowed","qualifying posting 2026-03-29; 3 pain postings in 12m of 3 all-time, across 15 requisitions",MDB?,MongoDB enrichment: no evidence string,MRG●,Origami firmographics: PRIVATE_EQUITY_ROUND,VER●,AGE?,SCL●,ACC●,B — sponsor mandate,,468,,PRIVATE_EQUITY_ROUND,852500000,,,roster-31,margin/sponsor trigger confirmed; **MongoDB UNKNOWN — detector returned no primary database**; `AGE?` Founded Year blank · **re-measured by the 04-09 pull**
covergenius.com,Cover Genius,1,FIRM - all four signals retrieved,65.0,75.0,,"A - named pain, sentence on file",EST●,"job-postings pull, 44 domains, 12-month window","qualifying posting 2026-08-06; 1 pain postings in 12m of 1 all-time, across 14 requisitions","frastructure problems, and help build the tooling and practices that make the wider team more effective with it - Drive cloud cost optimisation at the organisational level - reserved capacity, right-sizing, FinOps practices **Skills & Experience** *",1,1,28,14,HIR●,"job-postings pull, 44 domains, recency-windowed","qualifying posting 2026-08-06; 1 pain postings in 12m of 1 all-time, across 14 requisitions",MDB●,MongoDB enrichment: product stack,MRG◐,"funding stage only (SERIES_E) - capital gate passed by construction, not a margin event",VER●,AGE●,SCL●,ACC●,"D — watchlist, no trigger",2014,563,,SERIES_E,245088208,"New York, New York",,roster-31,"firmographics only — no trigger; MongoDB confirmed — **direction unverified, no requisition on file** · **re-measured by the 04-09 pull**"
csiweb.com,CSI,3,PROVISIONAL - ceiling 60,20.0,60.0,MDB,"B - estate measured, no qualifying sentence",EST⊗,"job-postings pull, 44 domains, 12-month window",no qualifying posting; 3 postings / 3 requisitions searched,,0,0,3,3,HIR○,"job-postings pull, 44 domains, recency-windowed",no qualifying posting; 3 postings / 3 requisitions searched,MDB?,NOT RETRIEVED,MRG●,Origami firmographics: PRIVATE_EQUITY_ROUND,VER?,AGE?,SCL?,ACC?,,1965,2320,PRIVATELY_HELD,PRIVATE_EQUITY_ROUND,,"Paducah, Kentucky, United States (North America)",FINTECH/PAYMENTS/LOGISTICS/MOBILITY,consolidation-19,
curvedental.com,Curve Dental,UNSCORED,"UNSCOREABLE - ceiling 35, below the Tier 2 line",0.0,35.0,EST;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,"funding stage only (VENTURE_ROUND | 2018-02-08) - capital gate passed by construction, not a margin event",VER?,AGE?,SCL?,ACC?,,2004,210,PRIVATELY_HELD,VENTURE_ROUND | 2018-02-08,,"Alpharetta, Georgia, 10745 Westside Way, Alpharetta, Georgia, United States, North America",software development,c1-fresh-pull-56,
dealersocket.com,Solera Dealer Solutions,UNSCORED,"UNSCOREABLE - ceiling 35, below the Tier 2 line",20.0,35.0,EST;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG●,Origami firmographics: PRIVATE_EQUITY_ROUND | 2014-05-14,VER?,AGE?,SCL?,ACC?,,2001,1153,PRIVATELY_HELD,PRIVATE_EQUITY_ROUND | 2014-05-14,,"Westlake, Texas, 1500 Solana Blvd, 6300, Westlake, Texas, United States, North America",software development,c1-fresh-pull-56,
docplanner.com,Docplanner,2,CANNOT REACH TIER 1 - ceiling 55,40.0,55.0,MRG,"A - named pain, sentence on file",EST●,"job-postings pull, 44 domains, 12-month window","qualifying posting 2026-08-23; 10 pain postings in 12m of 14 all-time, across 19 requisitions","le - Ability to vigilantly understand and mitigate security threats before they arise - Optimize system scalability and cost efficiency - Development, monitoring, and maintenance of Kubernetes clusters on several continents. - CI / CD development and main",10,14,29,19,HIR●,"job-postings pull, 44 domains, recency-windowed","qualifying posting 2026-08-23; 10 pain postings in 12m of 14 all-time, across 19 requisitions",MDB?,job-posting database mentions: Mariadb;Mongodb;Mssql;Mysql;Postgres;Postgresql;Redis,MRG?,NOT RETRIEVED,VER?,AGE?,SCL?,ACC?,,,3921,PRIVATELY_HELD,,,"Weteringschans 165 c, WeWork Building, Amsterdam, North Holland, Netherlands, Europe",LOGISTICS/MOBILITY/TRAVEL/VERTICAL-SAAS,consolidation-19,
dutchie.com,Dutchie,UNSCORED,"UNSCOREABLE - ceiling 35, below the Tier 2 line",0.0,35.0,EST;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,"funding stage only (SERIES_D | 350000000 | 2021-10-14) - capital gate passed by construction, not a margin event",VER?,AGE?,SCL?,ACC?,,2017,442,PRIVATELY_HELD,SERIES_D | 350000000 | 2021-10-14,603000000,"Boston, Massachusetts, Boston, Massachusetts, United States, North America",software development,c1-fresh-pull-56,
ecp123.com,ECP,UNSCORED,"UNSCOREABLE - ceiling 15, below the Tier 2 line",0.0,15.0,EST;MRG;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,NOT RETRIEVED,VER?,AGE?,SCL?,ACC?,,2003,549,PRIVATELY_HELD,,,"East Troy, Wisconsin, 2096 Church Street, P.O. Box 81, East Troy, Wisconsin, United States, North America",software development,c1-fresh-pull-56,
eisgroup.com,EIS Ltd,3,CANNOT REACH TIER 1 - ceiling 55,0.0,55.0,MRG,"B - estate measured, no qualifying sentence",EST○,"job-postings pull, 44 domains, 12-month window",no qualifying posting; 23 postings / 20 requisitions searched,,0,0,23,20,HIR○,"job-postings pull, 44 domains, recency-windowed",no qualifying posting; 23 postings / 20 requisitions searched,MDB?,job-posting database mentions: Microsoft Sql Server;Mssql;Mysql;Postgres;Postgresql;Snowflake,MRG?,NOT RETRIEVED,VER?,AGE?,SCL?,ACC?,,2008,989,PRIVATELY_HELD,,,"San Francisco, California, United States (North America)",INSURTECH,consolidation-19,
emburse.com,Emburse,UNSCORED,"UNSCOREABLE - ceiling 35, below the Tier 2 line",35.0,35.0,EST;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR●,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG●,Origami firmographics: PRIVATE_EQUITY_ROUND | 2019-07-15,VER?,AGE?,SCL?,ACC?,,2014,912,PRIVATELY_HELD,PRIVATE_EQUITY_ROUND | 2019-07-15,120000,"Dallas, Texas, 1701 N Market Street #330, Dallas, Texas, United States, North America",software development,c1-fresh-pull-56,
entrata.com,Entrata,2,FIRM - all four signals retrieved,45.0,75.0,,"A - named pain, sentence on file",EST●,"job-postings pull, 44 domains, 12-month window","qualifying posting 2026-05-05; 2 pain postings in 12m of 4 all-time, across 18 requisitions",es and managing incident response for high-availability applications - Knowledge of serverless architectures and AWS cost optimization strategies - Hands-on experience with compliance and governance automation for cloud security - Previous experien,2,4,20,18,HIR○,"job-postings pull, 44 domains, recency-windowed","qualifying posting 2026-05-05; 2 pain postings in 12m of 4 all-time, across 18 requisitions",MDB?,job-posting database mentions: Redis,MRG●,Origami firmographics: PRIVATE_EQUITY_ROUND,VER?,AGE?,SCL?,ACC?,,2003,2500,PRIVATELY_HELD,PRIVATE_EQUITY_ROUND,707000000,"Lehi, Utah, United States (North America)",FINTECH/PAYMENTS/VERTICAL-SAAS,consolidation-19,
esw.com,ESW,3,CANNOT REACH TIER 1 - ceiling 55,25.0,55.0,MRG,"A - named pain, sentence on file",EST●,"job-postings pull, 44 domains, 12-month window","qualifying posting 2026-04-30; 2 pain postings in 12m of 3 all-time, across 14 requisitions","and event-driven systems. - Lead design reviews and establish engineering guardrails. - Reduce platform complexity and technical debt. - Sponsor strategic technical initiatives (modernization, migrations, refactoring). - Ensure secure and scalable patte",2,3,22,14,HIR○,"job-postings pull, 44 domains, recency-windowed","qualifying posting 2026-04-30; 2 pain postings in 12m of 3 all-time, across 14 requisitions",MDB?,job-posting database mentions: Dynamodb;Mongodb;Mysql;Postgres;Postgresql,MRG?,NOT RETRIEVED,VER?,AGE?,SCL?,ACC?,,2010,945,PRIVATELY_HELD,,,"Dublin, Ireland, Europe",LOGISTICS/MOBILITY,consolidation-19,
everymatrix.com,EveryMatrix,UNSCORED,"UNSCOREABLE - ceiling 15, below the Tier 2 line",0.0,15.0,EST;MRG;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,NOT RETRIEVED,VER?,AGE?,SCL?,ACC?,,2008,933,PRIVATELY_HELD,,,"Sliema, Triq Għar il-Lembi, Piazzetta Business Plaza, Sliema, Malta, Europe",software development,c1-fresh-pull-56,
ezcater.com,ezCater,1,FIRM - all four signals retrieved,65.0,75.0,,"A - named pain, sentence on file",EST●,"job-postings pull, 44 domains, 12-month window","qualifying posting 2026-07-28; 11 pain postings in 12m of 16 all-time, across 21 requisitions","line that feeds it, and the availability services that determine which restaurants can fulfill an order. We’re actively replatforming search, and this role will help strengthen the team while guiding the architecture, delivery, and operational maturity",11,16,21,21,HIR●,"job-postings pull, 44 domains, recency-windowed","qualifying posting 2026-07-28; 11 pain postings in 12m of 16 all-time, across 21 requisitions",MDB●,MongoDB enrichment: product stack,MRG◐,"funding stage only (SERIES_D) - capital gate passed by construction, not a margin event",VER●,AGE●,SCL●,ACC●,"D — watchlist, no trigger",2007,938,,SERIES_D,420789999,"Boston, Massachusetts",,roster-31,"firmographics only — no trigger; MongoDB confirmed — **direction unverified, no requisition on file** · **re-measured by the 04-09 pull**"
fabric.inc,fabric,3,PROVISIONAL - ceiling 60,0.0,60.0,MDB,"B - estate measured, no qualifying sentence",EST⊘,w1 correction 2026-09-04 - 0926-est-hir-results-44-dated.csv,12 months to 2026-09-03,,0,1,4,3,HIR○,"job-postings pull, 44 domains, recency-windowed",no qualifying posting; 4 postings / 3 requisitions searched,MDB?,NOT RETRIEVED,MRG?,"funding stage only (SERIES_C) - capital gate passed by construction, not a margin event",VER?,AGE?,SCL?,ACC?,,2016,563,,SERIES_C,293500000,"Seattle, Washington",LOGISTICS/MOBILITY,consolidation-19;w1-corrections,Dated re-run retired the match: pain language predates the 12-month window
facile.it,Facile.it,3,CANNOT REACH TIER 1 - ceiling 55,15.0,55.0,MRG,"B - estate measured, no qualifying sentence",EST○,w1 correction 2026-09-04 - 0926-origami-job-postings.csv Pull=P9 cost-test,2026-09-02,,,,,,HIR●,w1 correction 2026-09-04 - 0926-origami-job-postings.csv Pull=P9 cost-test,2026-09-02,MDB○,MongoDB enrichment: no evidence string,MRG?,NOT RETRIEVED,VER?,AGE?,SCL?,ACC?,,2011,1333,PE-owned,,PE-owned,Italy,,cost-test-9;w1-corrections,Full posting text committed (5232 chars). Zero of the 9 pinned terms. Posting dated 2026-09-02. Names bare word 'database' only.
fareye.com,FarEye,3,FIRM - all four signals retrieved,0.0,75.0,,"B - estate measured, no qualifying sentence",EST○,"job-postings pull, 44 domains, 12-month window",no qualifying posting; 1 postings / 1 requisitions searched,,0,0,1,1,HIR○,"job-postings pull, 44 domains, recency-windowed",no qualifying posting; 1 postings / 1 requisitions searched,MDB?,MongoDB enrichment: no evidence string,MRG○,"funding stage only (SERIES_E) - capital gate passed by construction, not a margin event",VER●,AGE●,SCL●,ACC◐,"D — watchlist, no trigger",2013,598,,SERIES_E,151163000,"Chicago, Illinois",,roster-31,firmographics only — no trigger; **MongoDB UNKNOWN — detector returned no primary database** · **re-measured by the 04-09 pull**
fieldpulse.com,FieldPulse,UNSCORED,"UNSCOREABLE - ceiling 35, below the Tier 2 line",0.0,35.0,EST;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,"funding stage only (SERIES_C | 50000000 | 2025-08-11) - capital gate passed by construction, not a margin event",VER?,AGE?,SCL?,ACC?,,2015,201,PRIVATELY_HELD,SERIES_C | 50000000 | 2025-08-11,79200000,"Dallas, Texas, 8144 Walnut Hill Ln, Suite 1050, Dallas, Texas, United States, North America",software development,c1-fresh-pull-56,
filevine.com,Filevine,UNSCORED,"UNSCOREABLE - ceiling 35, below the Tier 2 line",15.0,35.0,EST;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR●,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,"funding stage only (SERIES_E | 260000000 | 2025-09-23) - capital gate passed by construction, not a margin event",VER?,AGE?,SCL?,ACC?,,2014,870,PRIVATELY_HELD,SERIES_E | 260000000 | 2025-09-23,648114413,"Salt Lake City, Utah, 1260 Stringham Ave, Suite 600, Salt Lake City, Utah, United States, North America",software development,c1-fresh-pull-56,
fireblocks.com,Fireblocks,UNSCORED,"UNSCOREABLE - ceiling 35, below the Tier 2 line",0.0,35.0,EST;MDB,C - estate never retrieved; category line only,EST?,NOT RETRIEVED,,,,,,,HIR?,Origami search-time Infra/SRE boolean (derived; probe-validated 0/10 false negatives 2026-09-04),"search-time snapshot, no date range",MDB?,NOT RETRIEVED,MRG?,"funding stage only (SECONDARY_MARKET | 2024-06-01) - capital gate passed by construction, not a margin event",VER?,AGE?,SCL?,ACC?,,2018,958,PRIVATELY_HELD,SECONDARY_MARKET | 2024-06-01,1039000000,"New York, New York, New York, New York, United States, North America",software development,c1-fresh-pull-56,
fleetio.com,Fleetio,3,FIRM - all four signals retrieved,25.0,75.0,,"B - estate measured, no qualifying sentence",EST○,"job-postings pull, 44 domains, 12-month window",no qualifying posting; 20 postings / 18 requisitions searched,,0,0,20,18,HIR●,"job-postings pull, 44 domains, recency-windowed",no qualifying posting; 20 postings / 18 requisitions searched,MDB○,MongoDB enrichment: no evidence string,MRG◐,"funding stage only (SERIES_D) - capital gate passed by construction, not a margin event",VER◐,AGE?,SCL●,ACC●,"D — watchlist, no trigger",,460,,SERIES_D,620075240,,,roster-31,firmographics only — no trigger; `AGE?` Founded Year blank · **re-measured by the 04-09 pull**
