Domain,Postings,Distinct Requisitions,EST,HIR,Databases Named,EST Evidence
eisgroup.com,23,20,EST○ absent across 20 requisitions,HIR○ no live posting,Microsoft Sql Server;Mssql;Mysql;Postgres;Postgresql;Snowflake,
entrata.com,20,18,EST● present,HIR○ no live posting,Redis,"[cost pressure] ""Familiarity with SRE principles and managing incident response for high-availability applications - Knowledge of serverless architectures and AWS cost optimization strategies - Hands-on experience with compliance and governance automation for cloud security - Previous experience working in Agile, fast-pace"" || [cost pressure] ""Familiarity with SRE principles and managing incident response for high-availability applications. - Knowledge of serverless architectures and AWS cost optimization strategies. - Hands-on experience with compliance and governance automation for cloud security. - Previous experience working in Agile, fast-pace"""
esw.com,22,14,EST● present,HIR○ no live posting,Dynamodb;Mongodb;Mysql;Postgres;Postgresql,"[monolith/legacy] ""cy across microservices, APIs, and event-driven systems. - Lead design reviews and establish engineering guardrails. - Reduce platform complexity and technical debt. - Sponsor strategic technical initiatives (modernization, migrations, refactoring). - Ensure secure and scalable patterns are adopted across teams."" || [re-architect] ""Lead design reviews and establish engineering guardrails. - Reduce platform complexity and technical debt. - Sponsor strategic technical initiatives (modernization, migrations, refactoring). - Ensure secure and scalable patterns are adopted across teams. **Reliability & Operational Excellence** - Ensure platfo"""
ezcater.com,21,21,EST● present,HIR● live,Elasticsearch;Postgres;Postgresql;Redis,"[re-architect] ""arch engine, the indexing pipeline that feeds it, and the availability services that determine which restaurants can fulfill an order. We’re actively replatforming search, and this role will help strengthen the team while guiding the architecture, delivery, and operational maturity of that new foundation."" || [monolith/legacy] ""availability store - Own Availability: zone-based delivery filtering, schedule matching, and the data model that powers it- extracted from the legacy monolith and re-implemented. - Own the Two-Stage Filtering Architecture: zone-based availability filtering followed by Vespa filtering and ranking - Drive sea"""
fabric.inc,4,3,EST● present,HIR○ no live posting,,"[re-architect] ""king our own history to evolve the ecommerce industry. Our mission is to accelerate the gross merchandise value of the internet by ending the pain of replatforming. Our products are centered around optimizing the digital commerce experience so everyone has the opportunity to shop seamlessly. We provide them with"""
fareye.com,1,1,"EST⊗ absent, only 1 requisition(s)",HIR○ no live posting,,
fleetio.com,20,18,EST○ absent across 18 requisitions,HIR● live,Elasticsearch;Postgres;Postgresql;Redis,
hotelengine.com,4,3,"EST⊗ absent, only 3 requisition(s)",HIR○ no live posting,Dynamodb;Mysql;Postgres;Postgresql,
housecallpro.com,106,76,EST● present,HIR● live,Elasticsearch;Mongodb;Mysql;Postgres;Postgresql;Redis;Snowflake,"[reliability/toil] ""d improve consistency across teams - Define and track developer productivity metrics, identifying opportunities to reduce bottlenecks and operational toil - Partner with Infrastructure and Security teams to embed secure-by-default patterns and Identity and Access Management (IAM) best practices into pla"" || [reliability/toil] ""d improve consistency across teams - Define and track developer productivity metrics, identifying opportunities to reduce bottlenecks and operational toil - Partner with Infrastructure and Security teams to embed secure-by-default patterns and Identity and Access Management (IAM) best practices into pla"""
icapital.com,2,1,"EST⊗ absent, only 1 requisition(s)",HIR○ no live posting,,
id.me,85,73,EST● present,HIR● live,Bigquery;Elasticsearch;Mysql;Postgresql;Snowflake,"[monolith/legacy] ""f nodes. Candidates must have experience operating at this scale and leading infrastructure through significant transformation—especially moving from monoliths to scalable microservices and platform/API architectures. Our current team is shifting from reactive support to proactive engineering. Our prod"" || [monolith/legacy] ""f nodes. Candidates must have experience operating at this scale and leading infrastructure through significant transformation—especially moving from monoliths to scalable microservices and platform/API architectures. Our current team is shifting from reactive support to proactive engineering. Our prod"""
italki.com,0,0,EST? no postings,HIR? no postings,,
itilite.com,0,0,EST? no postings,HIR? no postings,,
jobandtalent.com,1,1,"EST⊗ absent, only 1 requisition(s)",HIR○ no live posting,,
metropolis.io,22,16,EST● present,HIR● live,Mysql;Oracle;Postgresql;Snowflake,"[monolith/legacy] ""s role, you will architect, scale, and maintain highly resilient environments across multiple products while driving infrastructure modernization and legacy system integrations. The ideal candidate combines deep technical mastery of modern cloud-native systems with a strong collaborative mindset to interface acr"" || [re-architect] ""astructure. In this role, you will architect, scale, and maintain highly resilient environments across multiple products while driving infrastructure modernization and legacy system integrations. The ideal candidate combines deep technical mastery of modern cloud-native systems with a strong collaborative mindse"""
minted.com,16,14,EST● present,HIR○ no live posting,,"[monolith/legacy] ""considering remote candidates. You Will:- Write software that contributes to the automation of cloud infrastructure as we transition from a monolith to a service oriented architecture - Configure and support production monitoring, logging and CI/CD pipelines - Partner with engineering teams to emp"" || [re-architect] ""fortable coding tools that automate the provisioning of our cloud infrastructure environments. The engineering team at Minted is in the process of re-platforming and re-architecting several services and applications within our ecosystem. This is a great time to join and help to guide and build the next generat"""
netradyne.com,8,6,EST○ absent across 6 requisitions,HIR● live,Mysql,
offerup.com,3,2,EST● present,HIR● live,Redis,"[cost pressure] ""y in Datadog and on-call, remediate CVEs, manage secrets and access controls (Cloudflare/ZTNA, Okta, SSO, Workload Identity Federation), and optimize cloud cost. - **Multiply the team** — enable AI/ML developer tooling (Amazon Bedrock, Claude, AI-assisted workflows), lead design and code reviews, set techni"" || [cost pressure] ""y in Datadog and on-call, remediate CVEs, manage secrets and access controls (Cloudflare/ZTNA, Okta, SSO, Workload Identity Federation), and optimize cloud cost. - Multiply the team — enable AI/ML developer tooling (Amazon Bedrock, Claude, AI-assisted workflows), lead design and code reviews, set technical st"""
peopleperhour.com,0,0,EST? no postings,HIR? no postings,,
pushpay.com,61,40,EST● present,HIR● live,Cassandra;Clickhouse,"[reliability/toil] ""chitectural and security risks early - Turn broad or ambiguous problems into clear, well-scoped improvements - Build tools and automation that reduce toil and improve engineering velocity - Improve the observability, operability and resilience of production systems - Help teams make stronger technical d"" || [monolith/legacy] ""nt of our SDLC practices **Our Tech Stack** - Build high-throughput services in .NET 8 (microservices) alongside a battle-tested .NET Framework 4.8 monolith processing billions in giving - Design event-driven pipelines with Kinesis and RabbitMQ that bridge legacy and modern domains reliably. - Own microse"""
relexsolutions.com,45,36,EST● present,HIR○ no live posting,Bigquery;Clickhouse;Microsoft Sql Server;Postgres;Postgresql,"[re-architect] ""er Infrastructure with focus on infrastructure automation while improving reliability and scalability - Drive next-generation Data Center projects by modernizing private cloud architecture and automating server lifecycle workflows. - Creating and solving Incident and Management tickets with focus on agile tech"" || [reliability/toil] ""lines. * Operating Kubernetes clusters. * Actively participating in architecture design. * Writing services that further process the data. * Removing toil by automating processes and tools. * Work with different teams, from different locations. * Share your knowledge and learn new technologies/languages"""
rgigroup.com,0,0,EST? no postings,HIR? no postings,,
ridezum.com,0,0,EST? no postings,HIR? no postings,,
sayweee.com,0,0,EST? no postings,HIR? no postings,,
shiftkey.com,10,9,EST● present,HIR○ no live posting,,"[monolith/legacy] ""d you will help us maintain that standard while executing a migration to a new AWS region. This role blends hands-on maintenance work (reducing tech debt, improving deployments, strengthening observability) with engineering and automation that makes the platform easier to operate over time. You w"" || [reliability/toil] ""distributed system issues using observability tools - going deeper than just deploying charts. - Use modern AI tools (ClaudeCode, Cursor) to automate toil and speed up workflows, maintaining a realistic balance between using new tech and relying on proven engineering principles. **What You’ll Need** -"""
sitly.nl,0,0,EST? no postings,HIR? no postings,,
sureapp.com,0,0,EST? no postings,HIR? no postings,,
teacherspayteachers.com,4,4,EST● present,HIR○ no live posting,,"[reliability/toil] ""dents. The ideal candidate for the CloudOps team is continuously on the hunt for improvements to infrastructure and security, opportunities to reduce toil for the team, and new tools and practices to meet the challenges of a dynamic Ed-Tech company. Role: TPT is looking for a Staff Software Engineer f"" || [reliability/toil] ""dents. The ideal candidate for the CloudOps team is continuously on the hunt for improvements to infrastructure and security, opportunities to reduce toil for the team, and new tools and practices to meet the challenges of a dynamic Ed-Tech company. Role: As a Senior Software Engineer on the Cloud Opera"""
vinted.com,108,67,EST● present,HIR● live,Cassandra;Elasticsearch;Mysql;Postgres;Postgresql;Redis,"[reliability/toil] ""epending on the team size) - Implement self-service tooling - Collaborate with security teams to implement best practices **About You** - You avoid TOIL - Experienced with public cloud services (AWS knowledge is a plus) - Previous working experience at scale - Good track record of delivering complex t"" || [reliability/toil] ""epending on the team size) - Implement self-service tooling - Collaborate with security teams to implement best practices **About You** - You avoid TOIL - Experienced with public cloud services (AWS knowledge is a plus) - Previous working experience at scale - Good track record of delivering complex t"""
wallapop.com,3,1,"EST⊗ absent, only 1 requisition(s)",HIR● live,,
workrise.com,15,13,EST○ absent across 13 requisitions,HIR○ no live posting,Mongodb;Postgres;Postgresql,
zeta.tech,6,6,EST● present,HIR○ no live posting,,"[reliability/toil] "". - Oversees and refines team processes for alert triage, SOP documentation/updates, and knowledge sharing, integrating automation to minimize manual toil and enhance operational resilience. - Mentors staff on SLO-driven decision-making, conducts in-depth audits of alert/ticket workflows, analyses trend"""
zinnia.com,42,28,EST● present,HIR○ no live posting,Atlas;Elasticsearch;Mongodb;Mysql;Oracle;Postgres;Postgresql;Redis;Snowflake,"[cost pressure] ""calable, secure, and cost-efficient platforms. The ideal candidate will have deep hands-on knowledge of AWS architecture, infrastructure-as-code, and cloud cost management, as well as strong problem-solving skills to resolve complex technical challenges. **WHAT YOU'LL DO:** - Partner with engineering and pl"" || [estate sprawl] ""ucture as Code (IaC) using tools such as Terraform or AWS CloudFormation. - Drive cost optimization efforts by analyzing usage patterns, implementing right-sizing strategies, and leveraging AWS cost management tools. - Design and enforce security best practices, including identity management (IAM), encryption,"""
zuora.com,52,38,EST● present,HIR● live,Dynamodb;Mariadb;Mssql;Mysql;Oracle;Redis,"[cost pressure] ""us, Grafana, ELK/EFK Stack - Implement best practices for logging, metrics, tracing, and alerting across distributed systems. - Drive initiatives for cost optimization, performance tuning, and system hardening. - Participate in on-call rotations and incident management. Your experience - Strong experience wi"" || [cost pressure] ""us, Grafana, ELK/EFK Stack - Implement best practices for logging, metrics, tracing, and alerting across distributed systems. - Drive initiatives for cost optimization, performance tuning, and system hardening. - Participate in on-call rotations and incident management. Your experience - Strong experience wi"""
