domain,est_mark,est_date,est_sentence,hir_mark,postings_12m,infra_postings_12m,live_infra_90d,mdb_mark,mdb_evidence,est_retrieval,est_window
mykaarma.com,EST○,,measured absent across full description text of 6 postings,HIR○,6,6,0,MDB●,"we already have a robust foundation in MySQL, MariaDB, and MongoDB","0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
openwaygroup.com,EST○,,measured absent across full description text of 1 postings,HIR○,1,1,0,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
owner.app,EST?,,no postings retrieved in 12m - never measured,HIR?,0,0,0,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
pando.ai,EST○,,measured absent across full description text of 1 postings,HIR○,1,1,0,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
pcmicorp.com,EST●,2026-06-30,"we're modernizing our architecture, embedding AI across our products, and scaling to meet growing demand",HIR●,7,7,2,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
podium.com,EST○,,measured absent across full description text of 12 postings,HIR●,12,12,1,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
porteiro.com,EST?,,no postings retrieved in 12m - never measured,HIR?,0,0,0,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
promise-pay.com,EST○,,measured absent across full description text of 1 postings,HIR●,1,1,1,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
rechargepayments.com,EST○,,measured absent across full description text of 2 postings,HIR○,2,1,0,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
recurly.com,EST○,,measured absent across full description text of 1 postings,HIR○,1,1,0,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
road.io,EST○,,measured absent across full description text of 1 postings,HIR○,1,1,0,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
roller.software,EST○,,measured absent across full description text of 5 postings,HIR○,5,4,0,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
roofr.com,EST○,,measured absent across full description text of 14 postings,HIR●,14,6,1,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
smart-trade.net,EST○,,measured absent across full description text of 3 postings,HIR○,3,1,0,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
snapsheetclaims.com,EST○,,measured absent across full description text of 9 postings,HIR●,9,9,6,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
socure.com,EST○,,measured absent across full description text of 64 postings,HIR●,64,27,9,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
softgamings.com,EST?,,no postings retrieved in 12m - never measured,HIR?,0,0,0,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
softheon.com,EST○,,measured absent across full description text of 1 postings,HIR●,1,1,1,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
stampli.com,EST○,,measured absent across full description text of 14 postings,HIR●,14,8,1,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
storable.com,EST○,,measured absent across full description text of 15 postings,HIR●,15,15,6,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
suvoda.com,EST?,,no postings retrieved in 12m - never measured,HIR?,0,0,0,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
tabit.cloud,EST?,,no postings retrieved in 12m - never measured,HIR?,0,0,0,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
tekmetric.com,EST○,,measured absent across full description text of 15 postings,HIR○,15,9,0,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
tispayments.com,EST?,,no postings retrieved in 12m - never measured,HIR?,0,0,0,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
tyfone.com,EST?,,no postings retrieved in 12m - never measured,HIR?,0,0,0,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
wibmo.co,EST?,,no postings retrieved in 12m - never measured,HIR?,0,0,0,MDB○,no MongoDB in description text,"0904-46-domain-est-pull (Origami Job Posting Search, full description text via Raw Data JSON)",12 months to 2026-09-04
